sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
43,43,Data/600MHz/sim_000043_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,40;80;72,40,0,0,
44,44,Data/600MHz/sim_000044_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05444444444444445,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,34;4;6,40,0,0,
45,45,Data/600MHz/sim_000045_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,44;2;40,40,0,0,
46,46,Data/600MHz/sim_000046_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,64;54;4,40,0,0,
47,47,Data/600MHz/sim_000047_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,80;36;62,40,0,0,
48,48,Data/600MHz/sim_000048_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,48;30;58,40,0,0,
49,49,Data/600MHz/sim_000049_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,30;64;2,40,0,0,
50,50,Data/600MHz/sim_000050_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,16;52;22,40,0,0,
51,51,Data/600MHz/sim_000051_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,22;52;40,40,0,0,
52,52,Data/600MHz/sim_000052_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,32;78;38,40,0,0,
53,53,Data/600MHz/sim_000053_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,74;4;72,40,0,0,
54,54,Data/600MHz/sim_000054_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,68;38;50,40,0,0,
55,55,Data/600MHz/sim_000055_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,60;80;62,40,0,0,
56,56,Data/600MHz/sim_000056_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,66;14;38,40,0,0,
57,57,Data/600MHz/sim_000057_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,18;70;44,40,0,0,
58,58,Data/600MHz/sim_000058_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,60;36;54,40,0,0,
59,59,Data/600MHz/sim_000059_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05666666666666667,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,52;18;62,40,0,0,
60,60,Data/600MHz/sim_000060_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,10;48;40,40,0,0,
61,61,Data/600MHz/sim_000061_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,22;12;2,40,0,0,
62,62,Data/600MHz/sim_000062_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,66;44;8,40,0,0,
63,63,Data/600MHz/sim_000063_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,72;76;40,40,0,0,
64,64,Data/600MHz/sim_000064_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,36;54;10,40,0,0,
65,65,Data/600MHz/sim_000065_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,4;36;34,40,0,0,
66,66,Data/600MHz/sim_000066_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,2;42;36,40,0,0,
67,67,Data/600MHz/sim_000067_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,58;16;46,40,0,0,
68,68,Data/600MHz/sim_000068_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,66;18;6,40,0,0,
69,69,Data/600MHz/sim_000069_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,54;72;40,40,0,0,
70,70,Data/600MHz/sim_000070_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,24;44;26,40,0,0,
71,71,Data/600MHz/sim_000071_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,18;64;76,40,0,0,
72,72,Data/600MHz/sim_000072_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,22;42;32,40,0,0,
73,73,Data/600MHz/sim_000073_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,52;2;70,40,0,0,
74,74,Data/600MHz/sim_000074_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.05888888888888889,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,78;10;32,40,0,0,
75,75,Data/600MHz/sim_000075_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,14;74;50,40,0,0,
76,76,Data/600MHz/sim_000076_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,60;2;6,40,0,0,
77,77,Data/600MHz/sim_000077_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,4;44;16,40,0,0,
78,78,Data/600MHz/sim_000078_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,38;36;18,40,0,0,
79,79,Data/600MHz/sim_000079_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,52;6;2,40,0,0,
