sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
29,29,Data/600MHz/sim_000029_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.052222222222222225,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,17;71;3,40,0,0,
30,30,Data/600MHz/sim_000030_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,23;29;61,40,0,0,
31,31,Data/600MHz/sim_000031_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,1;67;49,40,0,0,
32,32,Data/600MHz/sim_000032_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,73;47;35,40,0,0,
33,33,Data/600MHz/sim_000033_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,5;65;29,40,0,0,
34,34,Data/600MHz/sim_000034_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,49;77;63,40,0,0,
35,35,Data/600MHz/sim_000035_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,17;67;1,40,0,0,
36,36,Data/600MHz/sim_000036_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,47;65;41,40,0,0,
37,37,Data/600MHz/sim_000037_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,69;71;77,40,0,0,
38,38,Data/600MHz/sim_000038_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,3;51;33,40,0,0,
39,39,Data/600MHz/sim_000039_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,51;43;37,40,0,0,
40,40,Data/600MHz/sim_000040_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,53;29;59,40,0,0,
41,41,Data/600MHz/sim_000041_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,23;79;67,40,0,0,
42,42,Data/600MHz/sim_000042_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,39;57;19,40,0,0,
43,43,Data/600MHz/sim_000043_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,39;79;71,40,0,0,
44,44,Data/600MHz/sim_000044_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05444444444444445,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,33;3;5,40,0,0,
45,45,Data/600MHz/sim_000045_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,43;1;39,40,0,0,
46,46,Data/600MHz/sim_000046_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,63;53;3,40,0,0,
